nom_streamer;plateforme;pays;categorie_contenu;style_stream;moyenne_viewers;pic_viewers;abonnements_mensuels;dons_mensuels_eur;duree_watch_moyenne_min;duree_stream_moyenne_h;frequence_stream_mois;langue;date_creation_compte;date_dernier_stream;revenu_mensuel_eur;partenaire_officiel
GoldenHarborTV;Twitch;Italie;Sport;Educatif;507;915;4;0.69;98.6;5.24;21;Italien;2014-07-05;2025-07-05;10.69;Non
RuneWhisperHQ85;Twitch;Allemagne;IRL;Communautaire;500;989;273;456.28;51.7;5.4;7;Allemand;2014-11-17;2025-12-04;1138.78;Non
MysticBeaconYT;YouTube;Suisse;MMO;Esport;355;1204;120;2.58;44.9;5.17;24;Français;2016-07-05;2025-06-09;302.58;Non
TurboCasterHQ;YouTube;Belgique;Tech;Competitif;182;635;56;143.2;88.5;4.63;21;Français;2019-08-01;2025-01-11;283.2;Oui
NeoGuardian_61;Twitch;Belgique;FPS;Humoristique;588;1574;27;49.25;30.6;6.25;6;Néerlandais;2023-07-13;2025-05-02;116.75;Non
PhantomZephyrLive;TikTok;Allemagne;Tech;Educatif;264;749;69;145.71;49.3;2.79;23;Allemand;2016-04-08;2025-02-18;318.21;Oui
CrimsonSpecter;Twitch;Belgique;FPS;Educatif;1254;3533;735;485.68;61.9;4.47;28;Néerlandais;2019-08-11;2025-02-25;2323.18;Oui
CrimsonOrbitLive;YouTube;Allemagne;Tech;Chill;287;540;133;329.25;78.3;2.84;10;Allemand;2014-03-13;2025-01-26;661.75;Oui
EchoQuasar_TV;YouTube;Allemagne;Horreur;Competitif;238;818;86;33.86;113.4;7.09;10;Allemand;2013-04-25;2025-03-26;248.86;Non
DarkPixelHQ;YouTube;Brésil;MMO;Esport;108;162;60;171.37;65.1;7.56;19;Portugais;2022-11-30;2025-03-21;321.37;Oui
NovaOrbit_Live;Twitch;États-Unis;FPS;Chill;372;778;223;415.14;117.2;5.48;22;Anglais;2022-09-10;2025-09-15;972.64;Oui
SilverSpecterTV;TikTok;Belgique;Tech;Educatif;198;319;93;282.54;75.7;7.11;7;Français;2017-07-09;2025-10-24;515.04;Oui
SolarOrbitTV;YouTube;Espagne;Tech;Esport;387;1059;275;0.0;67.7;5.5;21;Espagnol;2019-01-17;2025-05-03;687.5;Non
RapidDrake_Live;Twitch;France;Horreur;Communautaire;996;2282;415;498.41;90.5;3.8;15;Français;2014-03-30;2025-02-07;1535.91;Oui
IronZephyr27;Twitch;États-Unis;Just Chatting;Competitif;446;1120;1;1.28;41.9;4.09;7;Anglais;2018-10-14;2025-11-10;3.78;Oui
LunarQuasarYT;Twitch;Espagne;IRL;Chill;597;1692;415;407.42;79.9;7.59;8;Espagnol;2015-06-27;2025-05-20;1444.92;Non
PhantomGlyph_52;YouTube;Royaume-Uni;Horreur;Humoristique;165;447;49;118.35;94.6;3.22;25;Anglais;2014-01-26;2025-11-21;240.85;Non
DarkGuardianX;TikTok;Espagne;Musique;Esport;579;1828;170;342.26;34.0;4.0;9;Espagnol;2021-08-04;2025-10-15;767.26;Oui
VelvetDrakeLive;TikTok;France;Sport;Communautaire;448;772;265;211.46;115.1;6.15;9;Français;2015-04-28;2025-08-09;873.96;Oui
RapidDrakeLive47;YouTube;Suisse;Tech;Esport;281;445;90;3.28;62.8;7.6;6;Italien;2019-12-07;2025-10-14;228.28;Non
RetroRift_TV;Twitch;Canada;Cuisine;Chill;558;1923;252;379.29;97.5;7.55;12;Français;2019-06-14;2025-07-30;1009.29;Oui
ShadowPixel_Live;YouTube;Suisse;Tech;Educatif;311;632;36;38.86;100.9;2.65;6;Italien;2018-11-05;2025-04-27;128.86;Oui
SilverFox_Live82;YouTube;États-Unis;MMO;Educatif;276;427;66;88.36;47.4;3.97;7;Anglais;2019-06-05;2025-01-15;253.36;Oui
DriftWardenTV;Twitch;Belgique;Creation;Educatif;629;2046;488;817.19;53.5;5.48;13;Néerlandais;2019-01-13;2025-08-12;2037.19;Oui
SolarPixel_Live;YouTube;France;MMO;Communautaire;535;1214;206;0.0;81.9;3.53;27;Français;2016-06-02;2025-07-06;515.0;Non
SolarHarborX;TikTok;Belgique;Just Chatting;Communautaire;391;641;161;638.08;89.8;3.98;15;Français;2021-02-27;2025-06-17;1040.58;Non
RogueGlyph;YouTube;Canada;Creation;Communautaire;326;943;150;219.79;79.9;3.15;26;Français;2021-02-08;2025-10-08;594.79;Oui
DriftHarborLive;TikTok;États-Unis;Horreur;Educatif;111;233;69;155.38;48.9;6.71;24;Anglais;2016-10-16;2025-09-19;327.88;Non
UrbanBladeHQ;Twitch;Espagne;MMO;Esport;963;2973;210;609.59;116.4;6.42;26;Espagnol;2019-07-08;2025-02-17;1134.59;Oui
TurboCasterTV;Twitch;Suisse;Horreur;Communautaire;86;244;44;162.38;50.2;3.19;5;Allemand;2022-03-19;2025-08-01;272.38;Oui
CrimsonFable;TikTok;France;IRL;Educatif;135;396;38;60.79;64.6;4.4;9;Français;2015-12-11;2025-12-23;155.79;Non
RapidOrbitX;Twitch;Allemagne;MMO;Communautaire;231;369;20;31.37;52.4;7.09;19;Allemand;2019-02-12;2025-08-15;81.37;Non
VegaMatrix_TV9;YouTube;Allemagne;Just Chatting;Competitif;125;395;61;35.42;79.3;7.38;28;Allemand;2018-03-21;2025-09-24;187.92;Non
RogueGunner_Live71;Twitch;Espagne;Sport;Humoristique;2219;6110;539;634.91;54.7;2.46;14;Espagnol;2013-10-22;2025-03-12;1982.41;Oui
CrimsonDrakeX;YouTube;Brésil;Sport;Communautaire;987;1937;151;260.85;92.5;6.24;7;Portugais;2021-04-29;2025-02-01;638.35;Oui
VelvetPulseHQ46;Twitch;Italie;Cuisine;Educatif;1699;5378;133;224.06;65.1;6.62;27;Italien;2019-11-21;2025-06-02;556.56;Non
AeroForge_TV61;TikTok;Royaume-Uni;Creation;Competitif;536;1718;298;78.39;115.8;4.51;28;Anglais;2016-12-02;2025-05-20;823.39;Non
HyperFableTV;TikTok;Canada;Horreur;Competitif;94;232;47;84.46;65.0;6.01;17;Français;2023-12-24;2025-01-14;201.96;Non
AeroVortex_TV;Twitch;Allemagne;Musique;Chill;531;1425;249;204.17;89.7;2.5;18;Allemand;2020-07-02;2025-06-17;826.67;Oui
RogueGuardianHQ;YouTube;Espagne;IRL;Educatif;520;1252;238;186.98;60.4;7.28;13;Espagnol;2013-03-02;2025-06-29;781.98;Oui
VividWhisperFR;Twitch;Suisse;FPS;Communautaire;3141;8795;1554;479.71;100.3;5.91;5;Italien;2017-05-08;2025-03-06;4364.71;Non
RapidBlade_28;YouTube;États-Unis;Musique;Communautaire;830;2356;170;388.8;80.8;3.31;27;Anglais;2014-07-27;2025-03-25;813.8;Non
DriftGunnerFR;YouTube;Brésil;Tech;Chill;1442;2474;340;837.55;32.3;3.87;26;Portugais;2017-06-12;2025-02-22;1687.55;Non
SolarVortex_TV97;Twitch;États-Unis;MMO;Educatif;635;2032;358;1216.05;84.0;2.73;23;Anglais;2020-04-23;2025-02-05;2111.05;Non
PhantomHorizon_Live;YouTube;Allemagne;Musique;Educatif;307;468;76;46.4;67.8;4.94;18;Allemand;2023-09-14;2025-11-30;236.4;Non
RogueGlyphHQ33;YouTube;Italie;Just Chatting;Humoristique;164;448;63;115.99;112.8;6.65;19;Italien;2013-12-10;2025-05-23;273.49;Non
PhantomZephyrHQ18;YouTube;France;Horreur;Humoristique;546;1085;308;466.0;71.8;5.66;17;Français;2022-12-08;2025-04-19;1236.0;Non
VegaOrbit_TV;YouTube;Royaume-Uni;FPS;Communautaire;1995;6175;692;2920.36;60.6;7.28;27;Anglais;2013-12-02;2025-05-04;4650.36;Non
GoldenBeaconTV;TikTok;Allemagne;Horreur;Chill;802;1986;183;78.53;98.2;6.14;25;Allemand;2018-08-07;2025-04-24;536.03;Non
RapidForge_Live69;TikTok;Royaume-Uni;Sport;Educatif;685;1975;243;538.0;57.6;5.49;20;Anglais;2019-06-02;2025-06-30;1145.5;Non
PhantomGuardianLive;YouTube;Belgique;MMO;Esport;678;1384;261;170.49;52.6;2.72;11;Français;2016-04-18;2025-04-21;822.99;Non
HyperGlyph_;YouTube;Belgique;Tech;Humoristique;76;156;23;54.2;83.1;6.56;24;Français;2020-02-04;2025-04-02;111.7;Non
AtomicOrbit_TV;TikTok;Espagne;Musique;Esport;510;779;76;127.16;78.1;3.65;6;Espagnol;2014-04-20;2025-01-07;317.16;Non
TurboCasterYT;YouTube;Allemagne;IRL;Chill;616;1502;137;226.56;69.6;3.11;6;Allemand;2023-01-11;2025-02-07;569.06;Oui
VegaDrake;Twitch;Belgique;MMO;Educatif;430;775;73;135.62;103.0;7.69;7;Néerlandais;2017-01-22;2025-09-25;318.12;Non
VelvetDrake_TV;YouTube;Italie;Creation;Chill;747;1793;460;1174.75;69.8;7.16;18;Italien;2014-03-23;2025-04-17;2324.75;Oui
SilentWarden_;Twitch;Canada;FPS;Educatif;88;178;18;36.27;37.3;3.44;22;Anglais;2022-07-16;2025-05-30;81.27;Oui
RuneWarden_Live;Twitch;Suisse;Just Chatting;Esport;709;1391;356;1905.57;93.6;6.22;19;Allemand;2016-06-08;2025-08-06;2795.57;Oui
RogueBeaconHQ61;Twitch;France;Musique;Humoristique;755;1954;473;1160.74;88.3;7.45;9;Français;2018-06-22;2025-08-13;2343.24;Oui
SolarZephyrFR;TikTok;Royaume-Uni;Horreur;Educatif;825;2010;277;625.73;57.4;4.42;13;Anglais;2012-11-22;2025-08-10;1318.23;Non
SilentPixelLive29;TikTok;Italie;FPS;Esport;172;465;60;60.88;32.3;3.37;26;Italien;2012-11-25;2025-03-31;210.88;Non
VividHorizon_;YouTube;Allemagne;IRL;Educatif;441;1119;380;0.0;69.8;3.67;23;Allemand;2021-02-27;2025-06-20;950.0;Non
RuneVortexHQ12;YouTube;Espagne;Cuisine;Communautaire;858;2436;66;67.85;107.2;3.98;27;Espagnol;2022-03-14;2025-02-15;232.85;Non
SilverGunnerTV;Twitch;Royaume-Uni;Horreur;Educatif;1336;2678;551;232.66;40.4;6.64;21;Anglais;2016-03-16;2025-09-23;1610.16;Non
SilverSpecter;Twitch;Espagne;MMO;Competitif;183;502;98;75.42;74.9;4.65;6;Espagnol;2021-10-29;2025-12-24;320.42;Non
RuneCaster_;TikTok;Canada;Just Chatting;Communautaire;511;890;209;177.32;117.6;5.65;12;Anglais;2021-02-24;2025-02-17;699.82;Oui
DriftShardLive;TikTok;Canada;Horreur;Esport;4265;14861;2246;0.0;112.2;4.77;8;Français;2023-05-31;2025-12-28;5615.0;Non
DriftSageHQ;TikTok;Canada;Cuisine;Competitif;495;1153;132;310.52;73.4;4.83;19;Français;2023-05-26;2025-03-11;640.52;Oui
NovaForge_Live16;YouTube;France;Just Chatting;Esport;168;344;63;126.31;101.1;4.49;21;Français;2022-12-25;2025-03-18;283.81;Non
RuneWhisper84;YouTube;Allemagne;Sport;Competitif;1045;2693;167;194.64;61.1;5.31;22;Allemand;2017-05-10;2025-10-20;612.14;Non
DriftBeacon_Live11;YouTube;Brésil;Cuisine;Esport;239;470;64;208.99;99.8;2.26;28;Portugais;2015-05-31;2025-09-11;368.99;Oui
AeroCasterX;YouTube;Belgique;MMO;Educatif;629;1102;92;222.44;116.9;3.99;8;Français;2015-03-26;2025-07-29;452.44;Oui
DriftGlyphX;TikTok;Brésil;IRL;Humoristique;4164;6869;2525;0.0;100.3;3.59;24;Portugais;2023-12-20;2025-07-14;6312.5;Non
PhantomHarborTV;Twitch;Italie;IRL;Competitif;236;649;154;122.02;109.9;4.93;22;Italien;2018-06-12;2025-04-27;507.02;Oui
NovaGlyph_Live;YouTube;Canada;Just Chatting;Chill;657;1555;364;208.6;38.9;5.8;8;Anglais;2019-04-11;2025-01-29;1118.6;Non
VividSageYT;TikTok;Canada;Musique;Competitif;377;835;0;0.0;68.8;3.47;18;Anglais;2020-07-30;2025-11-14;0.0;Oui
RetroHorizon_TV;YouTube;Allemagne;Just Chatting;Esport;305;761;45;140.96;82.5;3.39;25;Allemand;2022-06-08;2025-05-28;253.46;Oui
RetroZephyrTV25;TikTok;Brésil;Just Chatting;Educatif;83;136;25;40.77;115.1;7.93;14;Portugais;2016-06-19;2025-07-16;103.27;Non
FrozenQuasarHQ;TikTok;Espagne;FPS;Esport;1969;3373;222;591.22;64.3;4.15;14;Espagnol;2018-02-26;2025-01-05;1146.22;Oui
HyperCasterTV82;Twitch;Italie;Sport;Competitif;407;1351;82;160.89;97.1;7.0;14;Italien;2016-04-06;2025-11-14;365.89;Non
BlazingForgeYT;TikTok;Belgique;FPS;Humoristique;502;1433;140;219.77;94.9;5.96;9;Néerlandais;2012-09-30;2025-10-24;569.77;Non
GoldenSageLive78;YouTube;Canada;Tech;Competitif;264;782;111;240.0;38.1;3.77;28;Français;2020-03-16;2025-09-29;517.5;Non
RuneBeacon_;YouTube;États-Unis;IRL;Educatif;2309;7298;351;1275.19;53.1;6.95;20;Anglais;2015-02-27;2025-04-26;2152.69;Non
RogueKnight_TV6;Twitch;Espagne;MMO;Chill;47;161;17;35.5;102.4;4.19;17;Espagnol;2020-04-07;2025-12-11;78.0;Non
DriftShard_;TikTok;Suisse;Horreur;Chill;549;1465;151;195.07;104.0;7.64;8;Italien;2019-05-11;2025-11-09;572.57;Oui
SilentFoxX;YouTube;Brésil;IRL;Competitif;234;654;66;155.07;87.2;4.79;27;Portugais;2012-10-31;2025-06-05;320.07;Non
VividForge_17;YouTube;États-Unis;MMO;Educatif;597;1034;156;374.34;51.1;5.23;17;Anglais;2015-06-19;2025-08-01;764.34;Oui
CrimsonBeaconX;Twitch;États-Unis;Tech;Educatif;565;1789;317;675.09;85.4;7.63;13;Anglais;2017-04-18;2025-07-05;1467.59;Oui
VegaGunner_TV74;YouTube;France;Cuisine;Humoristique;162;560;46;103.38;63.1;7.41;25;Français;2014-09-27;2025-08-21;218.38;Oui
RogueHarborLive;Twitch;États-Unis;Tech;Competitif;789;2229;312;504.61;87.8;5.58;5;Anglais;2016-08-08;2025-02-05;1284.61;Oui
RapidSage_TV;TikTok;France;Just Chatting;Competitif;1644;4394;463;947.81;103.2;3.4;9;Français;2017-08-15;2025-03-31;2105.31;Oui
IronCircuitTV;TikTok;États-Unis;FPS;Competitif;322;908;114;296.26;32.3;2.09;12;Anglais;2013-03-05;2025-03-06;581.26;Non
NeoShardX14;TikTok;Italie;IRL;Educatif;1000;2552;562;1576.68;97.1;4.86;16;Italien;2016-12-19;2025-11-11;2981.68;Oui
MysticFox_TV;YouTube;France;FPS;Educatif;412;1217;220;261.74;111.8;5.95;14;Français;2021-07-24;2025-12-18;811.74;Oui
CrimsonSageTV30;YouTube;Italie;Musique;Chill;576;1428;215;343.35;111.9;2.44;7;Italien;2018-03-02;2025-11-16;880.85;Non
VegaHorizonX;TikTok;Brésil;IRL;Esport;776;1755;183;657.41;83.8;3.77;21;Portugais;2016-10-27;2025-08-09;1114.91;Non
RuneStormFR;YouTube;Belgique;Sport;Educatif;133;435;20;53.16;67.2;6.96;17;Français;2017-09-19;2025-07-11;103.16;Oui
AeroGunner;Twitch;Brésil;IRL;Esport;963;2767;505;1074.81;72.7;2.55;7;Portugais;2020-05-10;2025-03-08;2337.31;Oui
VividGunner90;YouTube;États-Unis;Cuisine;Esport;398;1063;87;137.09;80.5;3.98;8;Anglais;2018-06-14;2025-11-04;354.59;Non
NeoHorizonYT;YouTube;Suisse;IRL;Humoristique;191;420;113;152.88;82.0;3.28;26;Français;2020-03-30;2025-02-28;435.38;Non
GoldenStormFR;TikTok;Royaume-Uni;FPS;Communautaire;162;429;54;103.3;102.6;7.07;24;Anglais;2017-12-30;2025-01-15;238.3;Oui
SilentBladeYT77;Twitch;Canada;Musique;Communautaire;217;444;51;88.93;98.6;7.53;16;Français;2020-12-27;2025-02-05;216.43;Oui
SableOrbit;Twitch;Brésil;Cuisine;Educatif;528;1574;157;161.55;117.5;2.55;21;Portugais;2015-07-13;2025-07-09;554.05;Non
PrimeBeaconHQ;Twitch;Canada;Musique;Communautaire;520;1530;57;5.27;99.9;5.41;7;Anglais;2013-10-30;2025-05-20;147.77;Non
SilverPixelLive;Twitch;Royaume-Uni;IRL;Humoristique;183;516;65;117.71;73.7;4.65;13;Anglais;2014-06-27;2025-05-26;280.21;Non
SilverBeaconFR47;Twitch;France;Tech;Humoristique;2044;5220;1168;1565.19;57.8;3.32;24;Français;2015-01-29;2025-05-11;4485.19;Non
FrozenHarbor_Live;Twitch;Brésil;MMO;Esport;395;851;78;115.56;30.7;6.48;10;Portugais;2023-03-22;2025-10-14;310.56;Non
FrozenSageHQ1;YouTube;Belgique;Sport;Communautaire;293;481;136;91.5;107.6;2.25;5;Français;2021-01-26;2025-12-30;431.5;Non
VividCircuit_47;TikTok;Allemagne;Sport;Chill;714;1484;504;701.18;66.5;7.8;10;Allemand;2014-05-17;2025-05-05;1961.18;Non
DriftGuardianHQ38;TikTok;États-Unis;Tech;Humoristique;627;1678;337;370.29;77.2;4.37;14;Anglais;2013-09-17;2025-09-19;1212.79;Oui
VegaGunnerFR;TikTok;Canada;Tech;Chill;516;1321;207;330.72;47.5;6.66;16;Français;2017-09-27;2025-04-12;848.22;Oui
VividBladeX;TikTok;Allemagne;Horreur;Communautaire;172;465;69;137.86;98.4;5.93;10;Allemand;2022-01-25;2025-12-15;310.36;Non
VelvetBeaconHQ;YouTube;Allemagne;Just Chatting;Humoristique;1990;6424;1177;4299.8;86.4;2.91;7;Allemand;2013-04-05;2025-06-30;7242.3;Oui
GoldenHarborYT;Twitch;Belgique;Creation;Communautaire;173;366;99;166.65;70.7;2.34;14;Néerlandais;2020-08-15;2025-08-25;414.15;Oui
VegaKnight_Live93;TikTok;Allemagne;MMO;Competitif;4486;10764;1069;705.84;102.9;5.91;15;Allemand;2022-02-07;2025-02-22;3378.34;Non
SilentShard;Twitch;Allemagne;Horreur;Communautaire;208;720;0;0.0;37.6;5.88;6;Allemand;2015-07-24;2025-07-06;0.0;Non
NeoBeacon_Live;TikTok;France;Sport;Chill;175;583;75;138.13;64.9;6.65;26;Français;2014-02-13;2025-10-13;325.63;Non
DriftBladeX16;Twitch;États-Unis;IRL;Communautaire;3177;6570;1874;1729.88;95.1;5.94;24;Anglais;2015-03-04;2025-06-29;6414.88;Non
CrimsonGuardianLive;TikTok;Belgique;Just Chatting;Communautaire;150;515;74;13.3;92.9;4.35;24;Néerlandais;2019-05-14;2025-03-07;198.3;Oui
BlazingDrakeX48;YouTube;Canada;Tech;Humoristique;3024;8443;1922;1981.24;68.1;4.17;16;Anglais;2016-04-21;2025-04-26;6786.24;Oui
IronBeacon;TikTok;Royaume-Uni;FPS;Esport;61;110;40;55.42;56.6;6.73;21;Anglais;2014-12-09;2025-11-02;155.42;Non
SilverQuasar_TV;Twitch;Allemagne;FPS;Educatif;1574;2846;127;114.38;46.3;6.16;24;Allemand;2017-04-29;2025-08-16;431.88;Non
CrimsonKnightFR;YouTube;Allemagne;Tech;Humoristique;405;1216;165;173.24;100.5;3.4;12;Allemand;2021-11-18;2025-08-25;585.74;Non
VividOrbitHQ;Twitch;Italie;Musique;Humoristique;800;2444;149;202.29;75.3;4.51;10;Italien;2022-10-11;2025-07-10;574.79;Oui
VividGlyphHQ;Twitch;Espagne;Horreur;Communautaire;460;1344;231;510.88;76.4;2.75;7;Espagnol;2021-10-23;2025-02-16;1088.38;Oui
SilverHarborHQ;Twitch;Brésil;MMO;Humoristique;117;366;10;27.78;109.6;7.58;18;Portugais;2020-08-29;2025-02-11;52.78;Non
RogueSpecterFR99;TikTok;États-Unis;Musique;Competitif;581;1132;145;442.42;58.7;2.59;27;Anglais;2018-06-08;2025-08-30;804.92;Oui
CrimsonVortexYT;Twitch;Espagne;Tech;Competitif;458;1382;291;456.15;72.2;5.69;7;Espagnol;2023-11-02;2025-08-05;1183.65;Oui
SilverForge_;YouTube;Italie;Horreur;Chill;3892;11879;2923;3656.78;51.4;2.73;12;Italien;2023-03-18;2025-11-02;10964.28;Oui
GoldenFox_TV;YouTube;France;Creation;Humoristique;1174;3244;621;1781.42;81.8;6.31;14;Français;2021-05-05;2025-04-06;3333.92;Oui
FrozenZephyr_;TikTok;Royaume-Uni;MMO;Chill;139;354;74;189.32;62.5;7.72;22;Anglais;2022-07-18;2025-01-23;374.32;Non
FrozenBeaconYT14;YouTube;Suisse;IRL;Communautaire;58;200;9;0.0;52.8;2.1;7;Allemand;2019-06-16;2025-03-10;22.5;Oui
NovaPixel_Live;YouTube;Allemagne;Musique;Competitif;299;659;162;486.38;60.5;5.86;26;Allemand;2022-04-07;2025-01-19;891.38;Non
RuneRunner60;YouTube;Royaume-Uni;Cuisine;Communautaire;437;831;317;38.01;101.2;7.31;15;Anglais;2017-09-06;2025-01-19;830.51;Oui
MysticForgeTV30;YouTube;Espagne;IRL;Humoristique;61;126;23;43.33;107.6;2.29;25;Espagnol;2020-12-20;2025-08-14;100.83;Non
RapidFable52;TikTok;Espagne;IRL;Esport;389;847;0;0.0;46.8;6.15;16;Espagnol;2013-10-08;2025-08-09;0.0;Oui
PhantomForgeTV;YouTube;Espagne;Horreur;Communautaire;96;248;51;95.2;58.9;2.48;26;Espagnol;2021-07-22;2025-03-27;222.7;Non
DarkMatrixHQ;TikTok;Brésil;Just Chatting;Esport;143;315;42;18.51;33.8;7.22;16;Portugais;2013-09-06;2025-12-10;123.51;Non
EchoGuardianFR;Twitch;Italie;Horreur;Chill;376;837;222;114.17;102.1;6.08;5;Italien;2013-07-04;2025-05-01;669.17;Non
SilentHarborYT;TikTok;Allemagne;Sport;Humoristique;702;1561;206;145.67;115.5;2.19;9;Allemand;2013-09-21;2025-10-21;660.67;Oui
PhantomHarborYT52;Twitch;France;Musique;Educatif;358;916;69;65.3;65.8;5.9;12;Français;2020-09-05;2025-10-15;237.8;Oui
MysticQuasar61;YouTube;Allemagne;Tech;Chill;108;218;85;130.5;53.4;4.68;24;Allemand;2013-08-29;2025-08-20;343.0;Oui
PhantomSage;YouTube;États-Unis;IRL;Communautaire;186;613;82;113.79;70.1;2.53;26;Anglais;2018-07-06;2025-06-03;318.79;Oui
DriftFox_Live20;TikTok;Suisse;IRL;Competitif;316;923;165;372.49;113.5;5.83;16;Italien;2017-04-23;2025-09-10;784.99;Oui
HyperRunnerTV;Twitch;Italie;IRL;Chill;225;499;64;78.4;81.5;4.8;22;Italien;2020-12-05;2025-09-03;238.4;Non
SableBladeFR;TikTok;Belgique;Horreur;Educatif;32;97;3;8.6;104.1;2.44;15;Néerlandais;2023-08-09;2025-06-26;16.1;Oui
SolarFox_Live27;Twitch;Brésil;MMO;Chill;2463;8019;862;1789.99;100.2;5.84;10;Portugais;2023-08-15;2025-03-20;3944.99;Non
RapidRiftYT;TikTok;Espagne;IRL;Humoristique;568;1039;576;1508.88;59.0;6.26;16;Espagnol;2018-02-26;2025-03-06;2948.88;Non
SolarMatrixHQ;TikTok;Canada;Musique;Esport;350;955;73;0.0;38.4;5.85;23;Français;2019-07-28;2025-10-16;182.5;Oui
AeroGuardian_TV77;TikTok;Espagne;Tech;Communautaire;504;1587;125;9.72;32.6;2.27;25;Espagnol;2012-09-05;2025-09-12;322.22;Non
RuneDrake_Live;YouTube;Espagne;Horreur;Chill;198;551;36;114.74;57.2;3.47;26;Espagnol;2013-05-05;2025-03-22;204.74;Non
EchoWhisper_;YouTube;États-Unis;Sport;Educatif;1064;2480;423;1260.52;71.8;4.04;9;Anglais;2020-04-23;2025-09-21;2318.02;Oui
NeoBeaconLive5;Twitch;Belgique;FPS;Humoristique;439;938;99;299.29;72.0;3.6;12;Français;2021-05-18;2025-05-08;546.79;Oui
NovaHarborLive;Twitch;Allemagne;MMO;Educatif;729;2279;140;183.35;114.0;6.33;11;Allemand;2018-12-02;2025-09-12;533.35;Oui
GoldenBladeHQ;Twitch;Italie;Sport;Chill;153;257;18;43.67;65.4;4.74;12;Italien;2018-04-23;2025-09-11;88.67;Non
SableZephyr;YouTube;États-Unis;Cuisine;Humoristique;3295;6825;396;816.94;30.7;2.64;9;Anglais;2020-12-25;2025-01-27;1806.94;Oui
RetroStorm_TV;TikTok;Espagne;Creation;Esport;197;438;59;53.55;56.0;4.32;19;Espagnol;2014-08-31;2025-03-07;201.05;Oui
PhantomBeacon_Live;Twitch;Suisse;Creation;Communautaire;155;354;63;42.15;101.5;4.03;16;Allemand;2023-03-20;2025-01-21;199.65;Oui
RogueMatrix_TV48;YouTube;Canada;Creation;Communautaire;543;856;211;266.08;94.2;6.82;21;Français;2019-05-10;2025-11-10;793.58;Non
DriftSpecterLive15;TikTok;États-Unis;MMO;Communautaire;148;270;42;94.73;119.2;6.44;14;Anglais;2022-12-26;2025-12-29;199.73;Non
EchoPulseYT31;YouTube;Italie;Just Chatting;Esport;699;1712;142;227.11;31.5;3.99;8;Italien;2012-08-06;2025-11-02;582.11;Non
VegaGlyph;TikTok;Suisse;FPS;Communautaire;921;1870;60;122.6;89.0;7.83;23;Italien;2015-10-28;2025-09-26;272.6;Non
GoldenGunner_;Twitch;Suisse;FPS;Educatif;194;348;99;72.94;91.3;2.19;27;Allemand;2021-05-23;2025-03-19;320.44;Non
UrbanFableHQ;TikTok;France;Musique;Communautaire;55;158;4;6.19;66.9;6.65;20;Français;2019-04-16;2025-12-06;16.19;Non
DriftGuardianHQ;YouTube;Royaume-Uni;Sport;Esport;536;1367;117;250.22;58.2;3.04;22;Anglais;2017-12-05;2025-11-09;542.72;Non
CrimsonBeaconX70;YouTube;Espagne;Tech;Esport;64;120;24;6.94;52.2;5.35;12;Espagnol;2022-12-19;2025-06-12;66.94;Non
